Trade #,Type,Date/Time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Run-up USD,Run-up %,Drawdown USD,Drawdown %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2024-10-23 09:27,Exit,2746.855,3.64,9994.803,3.71,0.04,3.8,0.04,-0.38,0.00,3.71,0.04
1,Entry long,2024-10-23 09:26,Long,2745.825,3.64,9994.803,3.71,0.04,3.8,0.04,-0.38,0.00,3.71,0.04
2,Exit long,2024-10-23 09:37,Exit,2746.365,3.64,9996.1316,0.6,0.01,1.75,0.02,-3.09,-0.03,4.31,0.04
2,Entry long,2024-10-23 09:30,Long,2746.19,3.64,9996.1316,0.6,0.01,1.75,0.02,-3.09,-0.03,4.31,0.04
3,Exit long,2024-10-23 09:48,Exit,2747.8,3.64,10000.5542,1.4,0.01,1.71,0.02,-0.27,0.00,5.71,0.06
3,Entry long,2024-10-23 09:47,Long,2747.405,3.64,10000.5542,1.4,0.01,1.71,0.02,-0.27,0.00,5.71,0.06
4,Exit long,2024-10-23 10:02,Exit,2749.315,3.63,9979.1604,0.82,0.01,1.42,0.01,-0.96,-0.01,6.53,0.07
4,Entry long,2024-10-23 09:58,Long,2749.08,3.63,9979.1604,0.82,0.01,1.42,0.01,-0.96,-0.01,6.53,0.07
5,Exit long,2024-10-23 10:14,Exit,2749.965,3.63,9980.5035,1.83,0.02,2.09,0.02,-1.07,-0.01,8.36,0.08
5,Entry long,2024-10-23 10:11,Long,2749.45,3.63,9980.5035,1.83,0.02,2.09,0.02,-1.07,-0.01,8.36,0.08
6,Exit long,2024-10-23 10:23,Exit,2750.42,3.63,9982.48185,1.51,0.02,1.69,0.02,-0.07,0.00,9.87,0.10
6,Entry long,2024-10-23 10:22,Long,2749.995,3.63,9982.48185,1.51,0.02,1.69,0.02,-0.07,0.00,9.87,0.10
7,Exit long,2024-10-23 10:28,Exit,2750.28,3.63,9983.24415,0.24,0.00,0.98,0.01,-1.11,-0.01,10.11,0.10
7,Entry long,2024-10-23 10:24,Long,2750.205,3.63,9983.24415,0.24,0.00,0.98,0.01,-1.11,-0.01,10.11,0.10
